date,volume,open,close,high,low,symbol,splitDeclaredDate,ratio,tofactor,forfactor,ratio_adj,split_factor,volume_adj,open_adj,close_adj,high_adj,low_adj,dollar_volume
2020-07-02,1524822.0,88.83,88.68,89.49,88.55,A,,,,,,1.0,1524822.0,88.83,88.68,89.49,88.55,135221214.96
2020-07-06,1450264.0,89.02,89.31,90.64,89.02,A,,,,,,1.0,1450264.0,89.02,89.31,90.64,89.02,129523077.84
2020-07-07,1452776.0,88.84,89.21,90.04,88.6704,A,,,,,,1.0,1452776.0,88.84,89.21,90.04,88.6704,129602146.96
2020-07-08,1084837.0,89.52,89.54,90.33,89.13,A,,,,,,1.0,1084837.0,89.52,89.54,90.33,89.13,97136304.98
2020-07-09,1153918.0,89.65,89.92,90.4,88.56,A,,,,,,1.0,1153918.0,89.65,89.92,90.4,88.56,103760306.56
2020-07-10,948715.0,89.85,89.42,89.87,88.57,A,,,,,,1.0,948715.0,89.85,89.42,89.87,88.57,84834095.3
2020-07-13,1656373.0,89.97,89.26,91.24,88.65,A,,,,,,1.0,1656373.0,89.97,89.26,91.24,88.65,147847853.98000002
2020-07-14,1375477.0,88.83,90.69,90.79,88.07,A,,,,,,1.0,1375477.0,88.83,90.69,90.79,88.07,124742009.13
2020-07-15,1914521.0,91.74,92.88,93.06,91.08,A,,,,,,1.0,1914521.0,91.74,92.88,93.06,91.08,177820710.48
2020-07-16,1239292.0,92.98,92.86,93.21,92.06,A,,,,,,1.0,1239292.0,92.98,92.86,93.21,92.06,115080655.12
2020-07-17,3534467.0,93.41,94.37,94.51,92.69,A,,,,,,1.0,3534467.0,93.41,94.37,94.51,92.69,333547650.79
2020-07-20,1255469.0,94.91,95.21,96.22,94.76,A,,,,,,1.0,1255469.0,94.91,95.21,96.22,94.76,119533203.49
2020-07-21,2190070.0,95.57,96.02,96.45,95.16,A,,,,,,1.0,2190070.0,95.57,96.02,96.45,95.16,210290521.4
2020-07-22,1327473.0,96.36,96.35,96.88,95.81,A,,,,,,1.0,1327473.0,96.36,96.35,96.88,95.81,127902023.55
2020-07-23,1394877.0,96.59,96.66,98.09,96.315,A,,,,,,1.0,1394877.0,96.59,96.66,98.09,96.315,134828810.82
2020-07-24,1157906.0,95.98,94.81,96.22,93.87,A,,,,,,1.0,1157906.0,95.98,94.81,96.22,93.87,109781067.86
2020-07-27,1192377.0,94.96,97.27,97.54,94.9,A,,,,,,1.0,1192377.0,94.96,97.27,97.54,94.9,115982510.78999999
2020-07-28,1380702.0,96.98,95.3,97.25,95.2,A,,,,,,1.0,1380702.0,96.98,95.3,97.25,95.2,131580900.6
2020-07-29,1137912.0,95.81,97.1,97.66,95.52,A,,,,,,1.0,1137912.0,95.81,97.1,97.66,95.52,110491255.19999999
2020-07-30,1675399.0,96.12,95.93,96.36,94.97,A,,,,,,1.0,1675399.0,96.12,95.93,96.36,94.97,160721026.07000002
2020-07-31,1565874.0,95.94,96.33,96.41,94.725,A,,,,,,1.0,1565874.0,95.94,96.33,96.41,94.725,150840642.42
2020-08-03,2010425.0,96.94,99.09,99.36,96.94,A,,,,,,1.0,2010425.0,96.94,99.09,99.36,96.94,199213013.25
